Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Ricky Council,36,29,1229,187,432,0.433,153,306,0.5,34,126,0.27,173,218,0.794,33,97,130,81,40,11,75,65,581
2,Anthony Black,36,36,1255,149,329,0.453,121,236,0.513,28,93,0.301,134,190,0.705,45,137,182,141,74,22,109,93,460
3,Davonte Davis,35,31,1159,144,347,0.415,97,211,0.46,47,136,0.346,46,64,0.719,24,129,153,87,48,4,72,91,381
4,Jordan Walsh,36,22,878,94,217,0.433,74,145,0.51,20,72,0.278,47,66,0.712,43,98,141,33,40,17,37,105,255
5,Makhi Mitchell,36,31,723,104,157,0.662,103,156,0.66,1,1,1,43,66,0.652,58,134,192,39,31,49,33,97,252
6,Nick Smith,17,14,438,76,202,0.376,52,131,0.397,24,71,0.338,37,50,0.74,4,24,28,29,14,2,27,26,213
7,Jalen Graham,31,0,291,74,113,0.655,74,110,0.673,0,3,0,13,35,0.371,23,47,70,14,12,14,35,38,161
8,Makhel Mitchell,30,9,385,47,74,0.635,47,74,0.635,0,0,0,15,33,0.455,26,70,96,10,11,45,17,60,109
9,Trevon Brazile,9,0,243,37,77,0.481,26,48,0.542,11,29,0.379,21,31,0.677,9,45,54,9,9,11,20,23,106
10,Joseph Pinion,26,0,150,21,47,0.447,8,13,0.615,13,34,0.382,7,7,1,4,12,16,3,6,1,0,21,62
11,Kamani Johnson,27,7,322,20,42,0.476,20,42,0.476,0,0,0,20,37,0.541,49,37,86,7,14,6,11,63,60
12,Derrian Ford,21,0,80,4,10,0.4,4,9,0.444,0,1,0,7,8,0.875,2,8,10,8,1,0,4,6,15
13,Barry Dunning,16,1,50,2,8,0.25,2,6,0.333,0,2,0,1,2,0.5,1,2,3,1,2,0,2,4,5
14,Cade Arbogast,9,0,11,1,4,0.25,0,0,0,1,4,0.25,0,0,0,0,1,1,0,0,0,0,1,3
15,Lawson Blake,9,0,12,1,4,0.25,1,4,0.25,0,0,0,1,3,0.333,1,3,4,0,0,0,1,1,3
0,School Totals,36,0,7225,961,2063,0.466,782,1491,0.524,179,572,0.313,565,810,0.698,373,899,1272,462,302,182,458,694,2666
